station_id,state,latitude,longitude,elevation,t_max,t_min,t_dew_max,t_dew_min
725465,IA,41.100,-92.450,257,36.7,-25.6,26.7,2.1
725467,IA,40.750,-95.417,296,39.0,-25.0,28.0,2.6
725468,IA,42.050,-94.783,375,59.2,-26.0,27.0,4.9
725469,IA,41.033,-93.367,320,37.0,-22.0,28.0,4.1
725470,IA,42.400,-90.700,322,32.8,-31.1,26.1,2.1
725473,IA,41.833,-90.333,216,34.3,-25.0,28.3,3.1
725474,IA,41.017,-94.367,394,36.0,-23.0,28.1,3.6
725475,IA,42.233,-91.167,259,34.0,-33.9,27.3,5.1
725476,IA,43.283,-91.733,353,34.0,-21.0,27.0,2.6
725477,IA,41.983,-95.383,388,36.0,-23.0,28.0,0.0
725478,IA,42.433,-93.867,342,56.0,-24.0,28.0,4.5
725479,IA,40.717,-95.033,303,38.0,-25.0,28.0,2.9
725480,IA,42.550,-92.400,264,36.1,-31.1,26.7,1.0
725483,IA,40.667,-91.333,221,37.0,-18.0,28.0,2.6
725484,IA,42.783,-96.200,365,56.3,-24.0,36.0,1.3
725485,IA,43.150,-93.333,364,35.0,-30.0,26.7,7.7
725486,IA,42.050,-93.850,354,37.0,-21.0,28.0,3.6
725487,IA,41.367,-91.150,167,42.0,-22.0,33.0,1.5
725488,IA,42.683,-91.967,328,35.0,-22.0,27.1,5.7
725489,IA,42.983,-96.067,431,36.0,-27.0,28.0,0.0
725490,IA,42.550,-94.183,355,34.0,-28.0,26.0,6.0
